frame,x1,y1,x2,y2,conf,vgnd_hist,vgnd_hsv,vgnd_delta_px,B_peak,B_std,B_lo,B_hi,B_cov,G_peak,G_std,G_lo,G_hi,G_cov,R_peak,R_std,R_lo,R_hi,R_cov,mask_fill
0,782,489,1106,741,0.708,740,615,125,174.5,10.8,152.9,196.1,0.675,100.5,9.2,82.1,118.9,0.706,8.5,7.3,-6.1,23.1,0.639,0.8470
50,720,488,1232,835,0.757,831,661,170,182.5,10.3,161.9,203.1,0.727,106.5,10.4,85.6,127.4,0.668,9.5,8.7,-7.9,26.9,0.52,0.8379
100,624,489,1126,794,0.749,793,641,152,175.5,11.9,151.8,199.2,0.725,99.5,8.6,82.3,116.7,0.677,7.5,6.3,-5.2,20.2,0.694,0.8501
150,480,485,756,686,0.770,685,585,100,168.5,10.8,146.9,190.1,0.718,91.5,8.6,74.2,108.8,0.712,7.5,5.6,-3.8,18.8,0.75,0.8699
200,456,484,714,661,0.759,660,572,88,162.5,10.5,141.6,183.4,0.774,91.5,9.4,72.8,110.2,0.651,7.5,5.8,-4.2,19.2,0.679,0.9208
250,458,482,716,661,0.761,660,571,89,162.5,11.1,140.4,184.6,0.757,91.5,9.9,71.7,111.3,0.659,7.5,5.9,-4.4,19.4,0.666,0.9226
300,614,483,872,666,0.764,665,574,91,170.5,10.9,148.6,192.4,0.753,91.5,9.0,73.6,109.4,0.655,7.5,5.4,-3.3,18.3,0.703,0.9203
350,906,485,1158,677,0.778,676,581,95,170.5,10.2,150.1,190.9,0.661,91.5,8.6,74.3,108.7,0.701,7.5,4.6,-1.8,16.8,0.754,0.8372
400,996,484,1267,697,0.785,695,590,105,170.5,10.1,150.4,190.6,0.716,91.5,8.8,73.8,109.2,0.71,7.5,4.8,-2.0,17.0,0.761,0.8886
450,676,484,1032,725,0.756,724,604,120,170.5,10.9,148.7,192.3,0.715,97.5,8.8,79.9,115.1,0.695,8.5,9.7,-10.8,27.8,0.614,0.8453
500,291,482,644,717,0.754,716,599,117,170.5,10.6,149.3,191.7,0.744,91.5,7.8,75.8,107.2,0.63,7.5,4.1,-0.8,15.8,0.689,0.8813
550,490,483,804,713,0.769,712,598,114,170.5,9.5,151.4,189.6,0.699,91.5,7.8,75.8,107.2,0.683,7.5,4.1,-0.8,15.8,0.736,0.8345
600,838,483,1176,703,0.749,699,593,106,170.5,11.5,147.5,193.5,0.71,91.5,9.6,72.4,110.6,0.675,7.5,6.6,-5.7,20.7,0.692,0.8438
650,998,482,1226,670,0.795,669,576,93,170.5,11.2,148.1,192.9,0.646,91.5,8.4,74.8,108.2,0.643,7.5,5.5,-3.5,18.5,0.695,0.8358
700,968,482,1286,682,0.749,681,581,100,172.5,15.4,141.8,203.2,0.617,97.5,15.9,65.7,129.3,0.641,8.5,4.7,-0.9,17.9,0.692,0.8796
750,836,480,1118,662,0.747,661,570,91,175.5,13.4,148.7,202.3,0.688,95.5,10.4,74.7,116.3,0.636,8.5,6.1,-3.8,20.8,0.626,0.8758
800,862,483,1085,640,0.763,639,561,78,173.5,11.7,150.1,196.9,0.694,95.5,9.1,77.2,113.8,0.599,8.5,4.6,-0.7,17.7,0.671,0.8590
850,899,483,1088,633,0.787,632,558,74,170.5,11.4,147.7,193.3,0.625,91.5,8.6,74.4,108.6,0.617,7.5,4.6,-1.7,16.7,0.681,0.7921
